sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
20190510 EMIF Diagnosis.csv,Diagnosis,-1,,0.6275454759597778,2000000551,Diagnosis,Concept Class,Clinical Information,S,0,0,Concept Class,2000000551,2019-01-01,2099-12-31,
20190510 EMIF Diagnosis.csv,Weight,-1,,1.0,2000000462,Weight (kg),Concept Class,Clinical Information,S,0,0,Concept Class,2000000462,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,Date of neuropsychological testing,-1,,0.7957629561424255,2000000477,Date of Neuropsychological Examination,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000477,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,Clock Drawing Test,-1,,0.7277217507362366,2000000061,Clock Drawing-On Command,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000061,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,MMSE Total Score,-1,,0.40407755970954895,2000000166,MMSE Total Score,Concept Class,Cognitive Screening Tests,S,0,0,Concept Class,2000000166,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,Anmial Fluency 1 min,-1,,0.6468623280525208,2000000009,Animals Fluency 1 min,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000009,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,Cerad WL recognition no,-1,,0.5786232352256775,2000000051,CERAD WL Recognition,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000051,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,Cerad Figures new,-1,,0.7442576885223389,2000000045,CERAD Figures,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000045,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,WMS-R Story A Delayed,-1,,0.5224083662033081,2000000206,Story Delayed,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000206,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,Cerad WL delayed ,-1,,0.5581316351890564,2000000047,CERAD WL Delayed,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000047,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,WMS-R Story B Immediate,-1,,0.5290101766586304,2000000208,Story Immediate,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000208,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,WMS-R Story B Delayed ,-1,,0.49420833587646484,2000000206,Story Delayed,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000206,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,TMT Part A,-1,,0.37575069069862366,2000000210,TMT-A,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000210,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,TMT Part B,-1,,0.40318724513053894,2000000212,TMT-B,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000212,2019-01-01,2099-12-31,
20190510 EMIF Neuropsychology.csv,WMS-R Story A Immediate ,-1,,0.5484875440597534,2000000208,Story Immediate,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000208,2019-01-01,2099-12-31,
20190510 EMIF Patient Data.csv,Family history Dementia,-1,,0.8934478163719177,2000000468,Family History of Dementia,Concept Class,Clinical Information,S,0,0,Concept Class,2000000468,2019-01-01,2099-12-31,
Diagnosis,depression with cognitive deficits,-1,,0.0,2000000470,Depression,Concept Class,Clinical Information,S,0,0,Concept Class,2000000470,2019-01-01,2099-12-31,
Diagnosis,depression without cognitive deficits,-1,,0.0,2000000470,Depression,Concept Class,Clinical Information,S,0,0,Concept Class,2000000470,2019-01-01,2099-12-31,
Diagnosis,cognitive impairment due to schizophrenia,-1,,0.0,2000000410,Other Psychiatric Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000410,2019-01-01,2099-12-31,
Diagnosis,mild cognitive impairment,-1,,0.0,2000000254,MCI,Concept Class,_Concepts,S,0,0,Concept Class,2000000254,2019-01-01,2099-12-31,
Etiology,Alzheimer,-1,,0.0,2000000255,AD,Concept Class,_Concepts,S,0,0,Concept Class,2000000255,2019-01-01,2099-12-31,
Etiology,Mixed type,-1,,0.0,2000000255,AD,Concept Class,_Concepts,S,0,0,Concept Class,2000000255,2019-01-01,2099-12-31,
ICD-10 / DSM-V,F00.2,-1,,0.05481768772006035,2000000255,AD,Concept Class,_Concepts,S,0,0,Concept Class,2000000255,2019-01-01,2099-12-31,
ICD-10 / DSM-V,DSM-V: 331.83,-1,,0.06224498152732849,2000000254,MCI,Concept Class,_Concepts,S,0,0,Concept Class,2000000254,2019-01-01,2099-12-31,
ICD-10 / DSM-V,F06.7,-1,,0.0,2000000254,MCI,Concept Class,_Concepts,S,0,0,Concept Class,2000000254,2019-01-01,2099-12-31,
ICD-10 / DSM-V,G20.0,-1,,0.0,2000000416,Parkinsons Disease,Concept Class,Clinical Information,S,0,0,Concept Class,2000000416,2019-01-01,2099-12-31,
ICD-10 / DSM-V,G31.84,-1,,0.0,2000000254,MCI,Concept Class,_Concepts,S,0,0,Concept Class,2000000254,2019-01-01,2099-12-31,
ICD-10 / DSM-V,F00.0,-1,,0.056708939373493195,2000000255,AD,Concept Class,_Concepts,S,0,0,Concept Class,2000000255,2019-01-01,2099-12-31,
ICD-10 / DSM-V,F00.1,-1,,0.05368034541606903,2000000255,AD,Concept Class,_Concepts,S,0,0,Concept Class,2000000255,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF Liquor - erythrocytes,-1,,0.08824317902326584,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF Liqour - protein,-1,,0.11858782172203064,2000000075,Total Tau (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000075,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF Liqour - lactate,-1,,0.18862341344356537,2000000259,Fact,Domain,Metadata,S,0,0,Domain,OMOP generated,2016-10-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF_GesProt,-1,,0.12165453284978867,2000000193,Respiratory Rate,Concept Class,Clinical Information,S,0,0,Concept Class,2000000193,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF alpha Synuclein,-1,,0.15595713257789612,2000000175,Palpa 49,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000175,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF Albumin in Liquor,-1,,0.6053526997566223,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF Liqour - glucosis,-1,,0.44293686747550964,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF Liqour - haemoglobin,-1,,0.15912115573883057,2000000342,CDR Global Score,Concept Class,Rating Scales,S,0,0,Concept Class,2000000342,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF Albumin ratio L/S,-1,,0.5887771844863892,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,Folsäure,-1,,0.07427090406417847,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF Liquor - cell count,-1,,0.21758511662483215,2000000065,Country,Concept Class,Demographics,S,0,0,Concept Class,2000000065,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF IgG ratio L/S,-1,,0.12188543379306793,2000000482,Date CSF Collection,Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000482,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF IgA ratio L/S,-1,,0.18358401954174042,2000000036,Clinical Dementia Rating,Concept Class,Rating Scales,S,0,0,Concept Class,2000000036,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF Albumin in Serum,-1,,0.6450435519218445,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CRP,-1,,0.1197088211774826,2000000140,ICV,Concept Class,Imaging,S,0,0,Concept Class,2000000140,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF IgM ratio L/S ,-1,,0.1147027537226677,2000000482,Date CSF Collection,Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000482,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,Hb1Ac,-1,,0.10538627952337265,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF IgG in Serum ,-1,,0.4903160631656647,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF IgG in Liquor,-1,,0.13996800780296326,2000000092,Ecog Informant,Concept Class,Rating Scales,S,0,0,Concept Class,2000000092,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF IgA in Serum ,-1,,0.4871639907360077,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF IgM in Serum ,-1,,0.4905182123184204,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Blood and CSF.csv,CSF IgA in Liquor ,-1,,0.11695706844329834,2000000075,Total Tau (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000075,2019-01-01,2099-12-31,
20190510 EMIF Blood and CSF.csv,CSF IgM in Liquor ,-1,,0.11561983823776245,2000000075,Total Tau (pg/mL),Concept Class,Laboratory Test Results,S,0,0,Concept Class,2000000075,2019-01-01,2099-12-31,
20190510 EMIF Diagnosis.csv,Onset of Symptoms,-1,,0.10281103104352951,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Patient Data.csv,Date of Admission,-1,,0.30038440227508545,0,Unmapped,,,,0,0,,,,,
Etiology,Other neurodegenerative diseases,-1,,0.0,0,Unmapped,,,,0,0,,,,,
20190510 EMIF Patient Data.csv,Sex,-1,,0.09304331988096237,2000000609,Sex,Concept Class,Demographics,S,0,0,Concept Class,2000000609,2019-01-01,2099-12-31,
20190510 EMIF Diagnosis.csv,Etiology,-1,,0.18408915400505066,2000000551,Diagnosis,Concept Class,Clinical Information,S,0,0,Concept Class,2000000551,2019-01-01,2099-12-31,
