sourceCode,sourceName,translate,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
AD Switchbox Maastricht Original data file.csv,CST02,CST0 (sec),-1,,0.09175530076026917,2000000708,CST-0,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000708,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,lacinf,lacunaire infarcten,-1,,0.39651480317115784,2000000727,Lacunar infartcs,Concept Class,Imaging,S,0,0,Concept Class,2000000727,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,CST03,CST0 (sec),-1,,0.09175530076026917,2000000708,CST-0,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000708,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,NPIHb,Tax for the social worker,-1,,0.21435268223285675,0,Unmapped,,,,0,0,,,,,
AD Switchbox Maastricht Original data file.csv,otherdem,if DIAG=3 then this variable shows the type of other dementia,-1,,0.4066680371761322,0,Unmapped,,,,0,0,,,,,
AD Switchbox Maastricht Original data file.csv,CEVD3,Cerebrovasculaire diagnose,-1,,0.6578267216682434,2000000403,Other Cerebrovascular Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000403,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,CAVD7,Cardiovasculaire diagnose,-1,,0.5987737774848938,2000000400,Other Cardiovascular Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000400,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,SOMD4,Somatische diagnose,-1,,0.5386455655097961,2000000412,Other Somatic Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000412,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,TMTC,TMTC (sec),-1,,0.2404145896434784,2000000212,TMT-B,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000212,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,PSYCHOS,Psychosis,-1,,0.43290039896965027,2000000410,Other Psychiatric Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000410,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,CARDIOVASCYN,Cardiovasculair Disorders?,-1,,0.8350533246994019,2000000400,Other Cardiovascular Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000400,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,WGOED1,GIT fluency1 correct,-1,,0.46021416783332825,0,Unmapped,,,,0,0,,,,,
AD Switchbox Maastricht Original data file.csv,WGOED2,GIT fluency2 correct,-1,,0.46256840229034424,0,Unmapped,,,,0,0,,,,,
AD Switchbox Maastricht Original data file.csv,ALCOH2,Number of units (per week),-1,,0.2136678397655487,2000000324,Alcohol Amount,Concept Class,Clinical Information,S,0,0,Concept Class,2000000324,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,VATvorm,VAT: Short / long,-1,,0.254441499710083,2000000215,VAT-12,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000215,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,VATvorm,VAT: Short / long,-1,,0.254441499710083,2000000216,VAT-24,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000216,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,VATtot,VAT totalscore,-1,,0.4264907240867615,2000000215,VAT-12,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000215,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,VATtot,VAT totalscore,-1,,0.4264907240867615,2000000216,VAT-24,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000216,2019-01-01,2099-12-31,
AD Switchbox Maastricht Original data file.csv,CSTA,CSTA (sec),-1,,0.14325959980487823,2000000709,CST-A,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000709,2019-01-01,2099-12-31,
