sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
ALCOH2_TXT,open text ,-1,,0.22410883009433746,2000000324,Alcohol Amount,Concept Class,Clinical Information,S,0,0,Concept Class,2000000324,2019-01-01,2099-12-31,
CST02,CST0 (sec),-1,,0.09175530076026917,2000000708,CST-0,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000708,2019-01-01,2099-12-31,
lacinf,lacunaire infarcten,-1,,0.39651480317115784,2000000727,Lacunar infartcs,Concept Class,Imaging,S,0,0,Concept Class,2000000727,2019-01-01,2099-12-31,
CST03,CST0 (sec),-1,,0.09175530076026917,2000000708,CST-0,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000708,2019-01-01,2099-12-31,
NPIHb,Tax for the social worker,-1,,0.21435268223285675,0,Unmapped,,,,0,0,,,,,
otherdem,if DIAG=3 then this variable shows the type of other dementia,-1,,0.4066680371761322,0,Unmapped,,,,0,0,,,,,
CEVD3,Cerebrovasculaire diagnose,-1,,0.6578267216682434,2000000639,Cerebrovascular Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000403,2019-01-01,2099-12-31,
CAVD7,Cardiovasculaire diagnose,-1,,0.5987737774848938,2000000637,Cardiovascular Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000400,2019-01-01,2099-12-31,
SOMD4,Somatische diagnose,-1,,0.5386455655097961,2000000412,Other Somatic Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000412,2019-01-01,2099-12-31,
TMTC,TMTC (sec),-1,,0.2404145896434784,0,Unmapped,,,,0,0,,,,,
PSYCHOS,Psychosis,-1,,0.43290039896965027,2000000410,Other Psychiatric Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000410,2019-01-01,2099-12-31,
CARDIOVASCYN,Cardiovasculair Disorders?,-1,,0.8350533246994019,2000000637,Cardiovascular Disorders,Concept Class,Clinical Information,S,0,0,Concept Class,2000000400,2019-01-01,2099-12-31,
WGOED1,GIT fluency1 correct,-1,,0.46021416783332825,0,Unmapped,,,,0,0,,,,,
WGOED2,GIT fluency2 correct,-1,,0.46256840229034424,0,Unmapped,,,,0,0,,,,,
ALCOH2,Number of units (per week),-1,,0.2136678397655487,2000000324,Alcohol Amount,Concept Class,Clinical Information,S,0,0,Concept Class,2000000324,2019-01-01,2099-12-31,
VATvorm,VAT: Short / long,-1,,0.254441499710083,0,Unmapped,,,,0,0,,,,,
VATtot,VAT totalscore,-1,,0.4264907240867615,0,Unmapped,,,,0,0,,,,,
CSTA,CSTA (sec),-1,,0.14325959980487823,2000000709,CST-A,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000709,2019-01-01,2099-12-31,
CSTB,CSTB (sec),-1,,0.07835384458303452,2000000711,CST-B,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000711,2019-01-01,2099-12-31,
RBMT_VAO,RBMT immediate A / C reproduction,-1,,0.34496569633483887,2000000613,SRT Immediate,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000613,2019-01-01,2099-12-31,
RBMT_VAU,RBMT deferred reproduction A / C,-1,,0.15339751541614532,2000000094,Education Category,Concept Class,Subject Characteristics,S,0,0,Concept Class,2000000094,2019-01-01,2099-12-31,
RBMT_VBO,RBMT immediate B / D reproduction,-1,,0.33909720182418823,2000000613,SRT Immediate,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000613,2019-01-01,2099-12-31,
RBMT_VBU,RBMT deferred reproduction B / D,-1,,0.14228792488574982,2000000094,Education Category,Concept Class,Subject Characteristics,S,0,0,Concept Class,2000000094,2019-01-01,2099-12-31,
DADTOTPERCENT,DAD totaal (%),-1,,0.19814585149288177,0,Unmapped,,,,0,0,,,,,
MAA_NR,other subject ID,-1,,0.4419800639152527,0,Unmapped,,,,0,0,,,,,
CSTC,CSTC (sec),-1,,0.0800849124789238,2000000713,CST-C,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000713,2019-01-01,2099-12-31,
CST01,CST0 (sec),-1,,0.09175530076026917,2000000708,CST-0,Concept Class,Neuropsychological Examination,S,0,0,Concept Class,2000000708,2019-01-01,2099-12-31,
NPIB,Motion restlessness,-1,,0.2565906345844269,0,Unmapped,,,,0,0,,,,,
TOBACOTYP1,Smoke type cigar,-1,,0.3003791272640228,0,Unmapped,,,,0,0,,,,,
NPIAf,Frequency anxiety,-1,,0.7221848368644714,0,Unmapped,,,,0,0,,,,,
WLT2,Number correct,-1,,0.4034518897533417,0,Unmapped,,,,0,0,,,,,
WLT2F,Mistakes,-1,,0.20755517482757568,0,Unmapped,,,,0,0,,,,,
NPIAe,Severity fear,-1,,0.4357158839702606,0,Unmapped,,,,0,0,,,,,
TOBACOTYP2,Smoke type cigarette,-1,,0.2696198523044586,0,Unmapped,,,,0,0,,,,,
SDMT30L,30 sec reading,-1,,0.34644174575805664,0,Unmapped,,,,0,0,,,,,
QCOMPLETED,Questionnaire administered? (GDS),-1,,0.220336452126503,0,Unmapped,,,,0,0,,,,,
NPIBf,Frequency of movement unrest,-1,,0.24133378267288208,0,Unmapped,,,,0,0,,,,,
STR1F,Stroop 1 mistakes,-1,,0.46494781970977783,0,Unmapped,,,,0,0,,,,,
WLT2D,doubles,-1,,0.19961050152778625,0,Unmapped,,,,0,0,,,,,
FEA,Frequency x severity anxiety,-1,,0.5724189877510071,0,Unmapped,,,,0,0,,,,,
TOBACOTYP3,Smoke type pipe tobacco,-1,,0.2509298026561737,0,Unmapped,,,,0,0,,,,,
WLT3,Number correct,-1,,0.4034518897533417,0,Unmapped,,,,0,0,,,,,
NPIBe,Severity of movement disorder,-1,,0.40481123328208923,0,Unmapped,,,,0,0,,,,,
SDMT30LF,30 sec reading mistakes,-1,,0.3158271908760071,0,Unmapped,,,,0,0,,,,,
STR1C,Stroop 1 corr.,-1,,0.45597848296165466,0,Unmapped,,,,0,0,,,,,
NPIAb,Tax for the social worker,-1,,0.21435268223285675,0,Unmapped,,,,0,0,,,,,
TOBACOTYPNLFL,Smoke type missing,-1,,0.368108332157135,0,Unmapped,,,,0,0,,,,,
WLT3F,Mistakes,-1,,0.20755517482757568,0,Unmapped,,,,0,0,,,,,
QCOMPLETED15,Questionnaire administered? (HDRS),-1,,0.2173125445842743,0,Unmapped,,,,0,0,,,,,
SDMT60L,60 sec reading,-1,,0.34320712089538574,0,Unmapped,,,,0,0,,,,,
WLT3D,doubles,-1,,0.19961050152778625,0,Unmapped,,,,0,0,,,,,
NPIUE,Exuberance Euphoria,-1,,0.2106500118970871,0,Unmapped,,,,0,0,,,,,
FEB,Frequency x severity movement agitation,-1,,0.26803383231163025,0,Unmapped,,,,0,0,,,,,
TMTAF,TMTA mistakes,-1,,0.27179744839668274,0,Unmapped,,,,0,0,,,,,
TOBACO2_TXT,Open text ,-1,,0.22410883009433746,0,Unmapped,,,,0,0,,,,,
SDMT60LF,60 sec reading mistakes,-1,,0.31393441557884216,0,Unmapped,,,,0,0,,,,,
NPIBb,Tax for the social worker,-1,,0.21435268223285675,0,Unmapped,,,,0,0,,,,,
WLT4,Number correct,-1,,0.4034518897533417,0,Unmapped,,,,0,0,,,,,
NPIDSf,Frequency depression gloominess,-1,,0.45449957251548767,0,Unmapped,,,,0,0,,,,,
QCOMPLETED1,Questionnaire administered (CDR)?,-1,,0.23788964748382568,0,Unmapped,,,,0,0,,,,,
NPISO,Sleep Unrest at night,-1,,0.3270758390426636,0,Unmapped,,,,0,0,,,,,
TMTBF,TMTB mistakes,-1,,0.23419593274593353,0,Unmapped,,,,0,0,,,,,
SDMT30S,30 sec writing,-1,,0.17705658078193665,0,Unmapped,,,,0,0,,,,,
NPIDSe,Severity depression depression,-1,,0.6429920792579651,0,Unmapped,,,,0,0,,,,,
WLT4F,Mistakes,-1,,0.20755517482757568,0,Unmapped,,,,0,0,,,,,
FED,Frequency x Ernst depression,-1,,0.4814448058605194,0,Unmapped,,,,0,0,,,,,
SDMT30SF,30 sec writing mistakes,-1,,0.17178595066070557,0,Unmapped,,,,0,0,,,,,
SDMT60S,60 sec writing,-1,,0.1855088770389557,0,Unmapped,,,,0,0,,,,,
NPIDSb,Tax for the social worker,-1,,0.21435268223285675,0,Unmapped,,,,0,0,,,,,
TMTCF,TMTC mistakes,-1,,0.2407250851392746,0,Unmapped,,,,0,0,,,,,
WLT4D,doubles,-1,,0.19961050152778625,0,Unmapped,,,,0,0,,,,,
SDMT60SF,60 sec writing mistakes,-1,,0.17076432704925537,0,Unmapped,,,,0,0,,,,,
NPIA,Fear,-1,,0.18902887403964996,0,Unmapped,,,,0,0,,,,,
WLT5,Number correct,-1,,0.4034518897533417,0,Unmapped,,,,0,0,,,,,
NPIAOf,Frequency apathy indifference,-1,,0.2538910210132599,0,Unmapped,,,,0,0,,,,,
CSF_Klin_Lab,,-1,,0.0,0,Unmapped,,,,0,0,,,,,
CYFRKSAW,Figure series backwards,-1,,0.5156229734420776,0,Unmapped,,,,0,0,,,,,
QCOMPLETED5,DAD Questionnaire administered?,-1,,0.32948216795921326,0,Unmapped,,,,0,0,,,,,
NPISOb,Tax for the social worker,-1,,0.21435268223285675,0,Unmapped,,,,0,0,,,,,
NPIAOe,Severity apathy indifference,-1,,0.3459314703941345,0,Unmapped,,,,0,0,,,,,
SCL90_SOM,Questionnaire SCL90 ,-1,,0.3474022448062897,0,Unmapped,,,,0,0,,,,,
DIGSPAN_SORT,Digit span sorting,-1,,0.7340525388717651,0,Unmapped,,,,0,0,,,,,
CSF_Klin_Methode,,-1,,0.0,0,Unmapped,,,,0,0,,,,,
CYFRKS_SORT,Number series sorting,-1,,0.32535621523857117,0,Unmapped,,,,0,0,,,,,
NPIOf,Frequency inhibition,-1,,0.419333815574646,0,Unmapped,,,,0,0,,,,,
